CustomerID,Profitiblity,Tenure,TakenFreeDelivery,CityTier,HighestSaving,PreferredPaymentMode,Gender,Age,FootfallInDiscountPeriod,TakenProdFromPromo,SatisfactionScore,MembershipCard,SavingPercent,Complain,AvgSaving,LastMonthCouponUsed,VisitInLastMonth,AvgNumberOfProduct,AvgBillAmount
900000002,48.6084,1.0,1,1,24.3042,Debit Card,Male,50,0,1,3,Silver,2.272727273,1,24.3042,0,0.16995944100000002,5.020585915,1069.3848
900000003,490.221,1.012853306,1,3,245.1105,Debit Card,Male,80,0,0,5,Silver,2.0,0,196.0884,0,2.693521978,29.53138554,9804.42
900000007,146.0637,0.5587136070000001,1,1,102.24459,Credit Card,Male,34,1,1,2,Diamond,1.428571429,1,43.819109999999995,2,0.23332859399999997,3.110890162,3067.3377
900000008,146.4147,0.872670397,1,3,131.77323,E wallet,Male,34,0,1,3,Diamond,0.454545455,1,14.641470000000002,0,0.26669344300000003,13.53413193,3221.1234
900000009,486.879,2.484076531,1,1,486.879,Debit Card,Male,55,0,1,3,Silver,1.6666666669999999,0,194.7516,1,0.705621739,15.60092924,11685.096000000001
900000014,407.0856,2.282722991,1,3,244.25136,Credit Card,Male,79,0,0,2,Silver,3.571428571,0,203.5428,0,0.678476,10.77353195,5699.1984
900000016,488.778,4.039487603,0,1,488.778,Debit Card,Female,37,0,1,2,Silver,0.9090909090000001,1,97.7556,1,2.793017143,17.80317219,10753.116000000002
900000018,99.6444,1.0,0,1,49.8222,Debit Card,Male,45,0,0,3,Silver,2.222222222,1,39.85776,1,0.8167573770000001,3.7759983160000004,1793.5992
900000020,398.8128,3.798217143,1,3,398.8128,Debit Card,Male,79,0,0,3,Diamond,3.333333333,1,199.4064,6,0.8941991029999999,11.11931599,5982.191999999999
900000023,394.9416,3.2109073169999998,1,3,394.9416,Debit Card,Female,72,0,0,3,Diamond,0.5555555560000001,1,39.49416,1,0.607602462,12.99625009,7108.9488
900000026,50.1885,1.0,1,3,50.1885,E wallet,Male,70,1,0,4,Diamond,2.222222222,0,20.0754,1,0.36903308799999995,1.918031847,903.393
900000027,486.918,6.847284375,1,3,438.2262,E wallet,Male,51,1,0,3,Diamond,2.5,1,194.7672,0,1.148391509,17.66595918,7790.688
900000030,246.4785,1.0,0,1,172.53495,COD,Male,38,1,0,3,Diamond,3.333333333,0,123.23925,0,0.5092530989999999,5.610284522000001,3697.1775
900000031,448.5564,2.324126425,1,1,448.5564,Credit Card,Male,18,0,0,3,Diamond,3.333333333,0,179.42256,1,1.078260577,6.848189313,5382.6768
900000032,49.0038,1.0,1,1,49.0038,Credit Card,Female,54,0,1,4,Diamond,2.631578947,1,24.5019,1,0.171943158,1.17116,931.0722
900000033,256.2825,1.125142683,1,3,230.65425,E wallet,Male,22,0,0,2,Diamond,1.904761905,0,102.51299999999999,2,0.49190499,24.68776376,5381.9325
900000034,243.3465,1.0,0,3,121.67325,E wallet,Female,53,1,1,3,Diamond,0.526315789,0,24.33465,1,1.3985431030000002,10.72757193,4623.5835
900000037,292.8834,0.8586158309999999,1,1,263.59506,Credit Card,Male,19,1,1,2,Diamond,0.4,0,29.28834,0,1.2052814809999999,11.77184084,7322.085
900000039,438.9282,1.7557128,0,1,395.03538,Credit Card,Male,31,0,1,3,Gold,0.5,1,43.89282,0,0.9753959999999999,14.92953061,8778.564
900000040,431.8224,0.9719475240000001,1,1,302.27567999999997,Debit Card,Female,73,1,0,4,Silver,1.0,0,43.18224,2,7.711114286,11.45417507,4318.224
900000041,48.7353,1.0,1,1,34.114709999999995,Debit Card,Male,54,1,1,3,Gold,1.3043478259999999,0,14.62059,1,0.10640895199999999,2.70099253,1120.9119
900000042,50.8257,1.0,1,3,35.57799,Debit Card,Female,27,1,0,2,Diamond,1.0,0,5.08257,2,0.13375184199999998,1.419712291,508.25699999999995
900000044,342.3798,2.297851007,1,1,342.3798,Debit Card,Male,66,1,1,3,Silver,2.0,0,102.71394000000001,0,1.145082943,6.07056383,5135.697
900000045,48.9174,1.0,1,1,39.13392,COD,Male,59,1,1,4,Diamond,0.588235294,1,4.89174,1,0.67010137,1.153392233,831.5958
900000047,48.6264,1.0,0,1,24.3132,Credit Card,Male,43,1,1,4,Silver,2.777777778,0,24.3132,4,0.130017112,4.033526267,875.2752
900000049,198.0072,0.990036,1,3,178.20648,Debit Card,Female,67,1,0,5,Gold,1.6666666669999999,1,79.20288000000001,0,0.41080332,8.80032,4752.1728
900000050,147.8313,0.547523333,1,1,118.26503999999998,Debit Card,Female,43,1,1,5,Gold,3.076923077,1,59.13251999999999,1,0.235400159,2.408279323,1921.8069
900000051,390.0,1.193877551,1,1,234.0,Debit Card,Male,34,1,1,2,Silver,1.0,0,78.0,0,0.7662082509999999,8.996539792,7800.0
900000052,48.3306,1.0,1,1,24.1653,Debit Card,Male,70,0,1,2,Silver,1.2,0,14.499179999999999,0,0.130977236,1.5510462130000002,1208.265
900000053,409.0872,1.221155821,1,3,409.0872,E wallet,Female,61,1,0,5,Gold,1.5384615380000002,0,81.81744,4,1.192674052,6.766073282000001,5318.1336
900000054,389.4912,0.822868732,1,1,350.54208,Debit Card,Female,65,1,1,2,Silver,1.904761905,0,155.79648,1,2.1168,9.159367525,8179.3152
900000055,393.4296,5.489715349,1,1,236.05776,Credit Card,Female,74,1,1,2,Diamond,2.5,1,157.37184,1,7.868592,10.47399933,6294.8736
900000059,303.8202,0.8278479559999999,0,3,303.8202,E wallet,Female,52,1,0,3,Silver,4.166666667,0,151.9101,1,0.79326423,5.06367,3645.8424
900000061,195.8544,0.822917647,1,1,195.8544,Debit Card,Female,37,0,1,2,Silver,1.764705882,0,58.756319999999995,0,1.297049007,4.676298876000001,3329.5248
900000063,48.6801,1.0,1,2,29.208059999999996,Credit Card,Male,29,1,1,3,Diamond,1.333333333,0,9.73602,2,0.0811335,2.051127809,730.2015
900000064,215.4204,4.308408,1,3,193.87836000000001,Credit Card,Female,42,1,0,2,Gold,3.0,0,64.62612,1,0.5744544,4.612856531,2154.2039999999997
900000067,48.8121,1.0,1,1,24.40605,Debit Card,Female,37,1,1,5,Diamond,0.9090909090000001,0,4.88121,1,0.101691875,0.690145373,536.9331
900000070,98.238,1.0,1,1,78.5904,Debit Card,Male,71,0,1,3,Silver,1.25,1,19.6476,1,0.33301016899999997,1.5781204819999999,1571.808
900000071,194.6784,1.066730959,1,1,155.74272,Credit Card,Female,22,1,1,3,Gold,1.0,0,19.46784,0,0.402228099,2.734247191,1946.7839999999999
900000073,293.5296,5.1048626089999996,1,1,234.82367999999997,Debit Card,Male,55,1,0,5,Gold,1.2,0,88.05888,1,0.829179661,24.70787879,7338.24
900000076,260.5125,1.0,0,1,130.25625,Credit Card,Male,55,1,0,3,Gold,0.5555555560000001,0,26.05125,1,0.635396341,8.68375,4689.225
900000078,99.5742,0.58919645,1,1,99.5742,Debit Card,Male,23,0,0,5,Diamond,1.363636364,0,29.872259999999997,0,3.0174,2.431334517,2190.6324
900000079,147.528,1.0,1,1,118.0224,Credit Card,Female,25,0,1,5,Diamond,1.6666666669999999,0,59.0112,1,0.30735,8.91856927,3540.672
900000080,449.3718,4.085198182,0,1,269.62307999999996,Debit Card,Male,67,1,0,3,Diamond,0.588235294,0,44.93718,0,0.745226866,36.55177321,7639.3206
900000081,204.0576,1.0,0,1,122.43456,Credit Card,Male,30,1,0,3,Gold,3.8461538460000004,0,102.0288,1,0.631757276,4.503817997,2652.7488
900000084,249.8175,1.0,1,1,124.90875,Debit Card,Female,66,1,0,5,Silver,2.0,1,49.9635,0,0.46782303399999997,11.83969194,2498.175
